"","spp.id","state","tot.ba"
"1","s105","Washington",0
"2","s105","Montana",0
"3","s105","Maine",28089.4212696425
"4","s105","North Dakota",29.8499559629709
"5","s105","South Dakota",123.48489960283
"6","s105","Wyoming",0
"7","s105","Wisconsin",1547029.58384999
"8","s105","Idaho",0
"9","s105","Vermont",4403.55326207221
"10","s105","Minnesota",2151239.23736306
"11","s105","Oregon",0
"12","s105","New Hampshire",3589.79566433234
"13","s105","Iowa",4947.8985604695
"14","s105","Massachusetts",1236.88953707926
"15","s105","Nebraska",38457.0581101775
"16","s105","New York",43599.4480690758
"17","s105","Pennsylvania",10060.7710316232
"18","s105","Connecticut",101.632261376828
"19","s105","Rhode Island",9.11678199470043
"20","s105","New Jersey",90.1698958873749
"21","s105","Indiana",7406.39819009136
"22","s105","Nevada",0
"23","s105","Utah",0
"24","s105","California",0
"25","s105","Ohio",7349.82936648931
"26","s105","Illinois",14005.0766717782
"27","s105","District of Columbia",0
"28","s105","Delaware",0
"29","s105","West Virginia",525.374177984893
"30","s105","Maryland",47.855909626931
"31","s105","Colorado",0
"32","s105","Kentucky",52.3154617995024
"33","s105","Kansas",7.1359256207943
"34","s105","Virginia",8.76879228651524
"35","s105","Missouri",104.938190668821
"36","s105","Arizona",0
"37","s105","Oklahoma",0
"38","s105","North Carolina",4.79422637820244
"39","s105","Tennessee",8.11004948616028
"40","s105","Texas",0
"41","s105","New Mexico",0
"42","s105","Alabama",0
"43","s105","Mississippi",0
"44","s105","Georgia",0
"45","s105","South Carolina",0
"46","s105","Arkansas",0
"47","s105","Louisiana",0
"48","s105","Florida",0
"49","s105","Michigan",2656106.68964032
