"","spp.id","state","tot.ba"
"1","s975","Washington",0
"2","s975","Montana",0
"3","s975","Maine",307.39017630904
"4","s975","North Dakota",899.874463785905
"5","s975","South Dakota",13760.993557117
"6","s975","Wyoming",0
"7","s975","Wisconsin",351170.779997175
"8","s975","Idaho",0
"9","s975","Vermont",2865.17765667982
"10","s975","Minnesota",162678.002010997
"11","s975","Oregon",0
"12","s975","New Hampshire",1254.86220383685
"13","s975","Iowa",377802.200486956
"14","s975","Massachusetts",2751.38526907744
"15","s975","Nebraska",114553.299087001
"16","s975","New York",44319.3180182877
"17","s975","Pennsylvania",399120.22623908
"18","s975","Connecticut",4833.13661897212
"19","s975","Rhode Island",271.643821777834
"20","s975","New Jersey",10778.8558021293
"21","s975","Indiana",341247.161659251
"22","s975","Nevada",0
"23","s975","Utah",0
"24","s975","California",0
"25","s975","Ohio",742622.684903381
"26","s975","Illinois",457598.407779421
"27","s975","District of Columbia",146.659439231502
"28","s975","Delaware",7358.99478522968
"29","s975","West Virginia",490151.865558605
"30","s975","Maryland",38725.179663391
"31","s975","Colorado",0
"32","s975","Kentucky",604446.925536109
"33","s975","Kansas",95537.8320403823
"34","s975","Virginia",199364.765788865
"35","s975","Missouri",854343.555643529
"36","s975","Arizona",0
"37","s975","Oklahoma",579836.639175862
"38","s975","North Carolina",221668.151141491
"39","s975","Tennessee",385342.860213908
"40","s975","Texas",217094.58513539
"41","s975","New Mexico",0
"42","s975","Alabama",131449.801646468
"43","s975","Mississippi",352651.33932165
"44","s975","Georgia",120641.70782029
"45","s975","South Carolina",138570.702907607
"46","s975","Arkansas",526275.204244794
"47","s975","Louisiana",191347.254267031
"48","s975","Florida",7787.92935755977
"49","s975","Michigan",141927.511653882
