"","spp.id","state","tot.ba"
"1","s693","Washington",0
"2","s693","Montana",0
"3","s693","Maine",2344.19533214113
"4","s693","North Dakota",1.50972580909729
"5","s693","South Dakota",364.157012496144
"6","s693","Wyoming",0
"7","s693","Wisconsin",1201.94775209704
"8","s693","Idaho",0
"9","s693","Vermont",2457.41369597288
"10","s693","Minnesota",364.123817539774
"11","s693","Oregon",0
"12","s693","New Hampshire",9186.53463130072
"13","s693","Iowa",19908.9616361284
"14","s693","Massachusetts",71795.2989659817
"15","s693","Nebraska",5.90403860807419
"16","s693","New York",205366.693971083
"17","s693","Pennsylvania",1412501.86880658
"18","s693","Connecticut",70642.8823737018
"19","s693","Rhode Island",24998.4125445207
"20","s693","New Jersey",595186.679881078
"21","s693","Indiana",304793.703478224
"22","s693","Nevada",0
"23","s693","Utah",0
"24","s693","California",0
"25","s693","Ohio",433700.644119624
"26","s693","Illinois",166727.409865828
"27","s693","District of Columbia",1828.17000365071
"28","s693","Delaware",171150.752036504
"29","s693","West Virginia",1431069.25033694
"30","s693","Maryland",627368.217233013
"31","s693","Colorado",0
"32","s693","Kentucky",1431595.35762058
"33","s693","Kansas",37.1618145536631
"34","s693","Virginia",2385078.31960874
"35","s693","Missouri",917932.954673068
"36","s693","Arizona",0
"37","s693","Oklahoma",243376.941482703
"38","s693","North Carolina",1547174.02237524
"39","s693","Tennessee",2025250.96973382
"40","s693","Texas",1259756.903384
"41","s693","New Mexico",0
"42","s693","Alabama",2805536.87551052
"43","s693","Mississippi",2194271.70559843
"44","s693","Georgia",1352842.17016932
"45","s693","South Carolina",819265.08689285
"46","s693","Arkansas",2230408.75084529
"47","s693","Louisiana",1440543.73159762
"48","s693","Florida",490159.417594759
"49","s693","Michigan",62091.8546181967
