"","spp.id","state","tot.ba"
"1","s854","Washington",0
"2","s854","Montana",0
"3","s854","Maine",0
"4","s854","North Dakota",0
"5","s854","South Dakota",0
"6","s854","Wyoming",0
"7","s854","Wisconsin",0
"8","s854","Idaho",0
"9","s854","Vermont",0
"10","s854","Minnesota",0
"11","s854","Oregon",0
"12","s854","New Hampshire",0
"13","s854","Iowa",0
"14","s854","Massachusetts",0
"15","s854","Nebraska",0
"16","s854","New York",0
"17","s854","Pennsylvania",0
"18","s854","Connecticut",0
"19","s854","Rhode Island",0
"20","s854","New Jersey",0
"21","s854","Indiana",0
"22","s854","Nevada",0
"23","s854","Utah",0
"24","s854","California",0
"25","s854","Ohio",0
"26","s854","Illinois",0
"27","s854","District of Columbia",0
"28","s854","Delaware",0
"29","s854","West Virginia",0
"30","s854","Maryland",0
"31","s854","Colorado",0
"32","s854","Kentucky",0
"33","s854","Kansas",0
"34","s854","Virginia",0
"35","s854","Missouri",0
"36","s854","Arizona",0
"37","s854","Oklahoma",0
"38","s854","North Carolina",0
"39","s854","Tennessee",0
"40","s854","Texas",0
"41","s854","New Mexico",0
"42","s854","Alabama",0
"43","s854","Mississippi",0
"44","s854","Georgia",0
"45","s854","South Carolina",0
"46","s854","Arkansas",0
"47","s854","Louisiana",0
"48","s854","Florida",1108.95954287518
"49","s854","Michigan",0
