"","spp.id","state","tot.ba"
"1","s132","Washington",0
"2","s132","Montana",0
"3","s132","Maine",0
"4","s132","North Dakota",0.45608001947403
"5","s132","South Dakota",714.981517136097
"6","s132","Wyoming",0
"7","s132","Wisconsin",3428.91352222115
"8","s132","Idaho",0
"9","s132","Vermont",5.67947517335415
"10","s132","Minnesota",3758.84744179063
"11","s132","Oregon",0
"12","s132","New Hampshire",1.95473829470575
"13","s132","Iowa",4733.75352070061
"14","s132","Massachusetts",392.345864020404
"15","s132","Nebraska",1.64934265613556
"16","s132","New York",7931.67186268233
"17","s132","Pennsylvania",724348.189866366
"18","s132","Connecticut",2550.57455126755
"19","s132","Rhode Island",199.016400575638
"20","s132","New Jersey",107769.216202501
"21","s132","Indiana",254162.917617545
"22","s132","Nevada",0
"23","s132","Utah",0
"24","s132","California",0
"25","s132","Ohio",500694.660907694
"26","s132","Illinois",37976.4559519923
"27","s132","District of Columbia",5637.18994194083
"28","s132","Delaware",76176.5210451586
"29","s132","West Virginia",1232075.31682126
"30","s132","Maryland",694900.187144826
"31","s132","Colorado",0
"32","s132","Kentucky",1319783.54879307
"33","s132","Kansas",16.8714818656445
"34","s132","Virginia",5638452.84156225
"35","s132","Missouri",9692.47926152966
"36","s132","Arizona",0
"37","s132","Oklahoma",109.285113328137
"38","s132","North Carolina",3326718.23892763
"39","s132","Tennessee",2162587.49542999
"40","s132","Texas",4602.37556005985
"41","s132","New Mexico",0
"42","s132","Alabama",1995178.6771906
"43","s132","Mississippi",52643.835121913
"44","s132","Georgia",1557956.32041891
"45","s132","South Carolina",671264.479122308
"46","s132","Arkansas",10486.0483250209
"47","s132","Louisiana",57519.8420573066
"48","s132","Florida",2077.00900949794
"49","s132","Michigan",1847.43241649121
