"","spp.id","state","tot.ba"
"1","s682","Washington",0
"2","s682","Montana",0
"3","s682","Maine",0
"4","s682","North Dakota",108.066477015615
"5","s682","South Dakota",20145.8491118527
"6","s682","Wyoming",0
"7","s682","Wisconsin",48931.7241735365
"8","s682","Idaho",0
"9","s682","Vermont",0
"10","s682","Minnesota",18595.0584955874
"11","s682","Oregon",0
"12","s682","New Hampshire",0
"13","s682","Iowa",334090.47056027
"14","s682","Massachusetts",0
"15","s682","Nebraska",306551.923938408
"16","s682","New York",12.8054284258978
"17","s682","Pennsylvania",3120.85032156213
"18","s682","Connecticut",0
"19","s682","Rhode Island",0
"20","s682","New Jersey",207.299529716431
"21","s682","Indiana",88461.5686921586
"22","s682","Nevada",0
"23","s682","Utah",0
"24","s682","California",0
"25","s682","Ohio",27536.699042462
"26","s682","Illinois",218877.972989099
"27","s682","District of Columbia",20.342668434605
"28","s682","Delaware",2869.29126183322
"29","s682","West Virginia",10316.7429957231
"30","s682","Maryland",7756.49791642383
"31","s682","Colorado",4.28581401705742
"32","s682","Kentucky",84512.8227902607
"33","s682","Kansas",866973.525306077
"34","s682","Virginia",21927.766755466
"35","s682","Missouri",507762.590259089
"36","s682","Arizona",0
"37","s682","Oklahoma",147791.723817864
"38","s682","North Carolina",33107.3793052202
"39","s682","Tennessee",133895.470557655
"40","s682","Texas",182459.17436032
"41","s682","New Mexico",3.2740256935358
"42","s682","Alabama",143250.676033217
"43","s682","Mississippi",106488.420560991
"44","s682","Georgia",89291.3339019962
"45","s682","South Carolina",56168.3916896041
"46","s682","Arkansas",89009.2835838742
"47","s682","Louisiana",40837.7926645937
"48","s682","Florida",10235.3417230065
"49","s682","Michigan",17622.0710706078
