"","spp.id","state","tot.ba"
"1","s108","Washington",5559147.29854943
"2","s108","Montana",30600568.0691301
"3","s108","Maine",0
"4","s108","North Dakota",0
"5","s108","South Dakota",63.8936489191838
"6","s108","Wyoming",12995569.8860542
"7","s108","Wisconsin",0
"8","s108","Idaho",19501029.3994979
"9","s108","Vermont",0
"10","s108","Minnesota",0
"11","s108","Oregon",12000925.1820978
"12","s108","New Hampshire",0
"13","s108","Iowa",0
"14","s108","Massachusetts",0
"15","s108","Nebraska",0
"16","s108","New York",0
"17","s108","Pennsylvania",0
"18","s108","Connecticut",0
"19","s108","Rhode Island",0
"20","s108","New Jersey",0
"21","s108","Indiana",0
"22","s108","Nevada",586348.938806139
"23","s108","Utah",5633691.32997942
"24","s108","California",10134739.0196889
"25","s108","Ohio",0
"26","s108","Illinois",0
"27","s108","District of Columbia",0
"28","s108","Delaware",0
"29","s108","West Virginia",0
"30","s108","Maryland",0
"31","s108","Colorado",17423016.2249155
"32","s108","Kentucky",0
"33","s108","Kansas",0
"34","s108","Virginia",0
"35","s108","Missouri",0
"36","s108","Arizona",31019.6367320955
"37","s108","Oklahoma",0
"38","s108","North Carolina",0
"39","s108","Tennessee",0
"40","s108","Texas",0
"41","s108","New Mexico",2690309.76495286
"42","s108","Alabama",0
"43","s108","Mississippi",0
"44","s108","Georgia",0
"45","s108","South Carolina",0
"46","s108","Arkansas",0
"47","s108","Louisiana",0
"48","s108","Florida",0
"49","s108","Michigan",0
