"","spp.id","state","tot.ba"
"1","s65","Washington",1561.45957127912
"2","s65","Montana",136730.329671442
"3","s65","Maine",0
"4","s65","North Dakota",0
"5","s65","South Dakota",0
"6","s65","Wyoming",12106518.3720563
"7","s65","Wisconsin",0
"8","s65","Idaho",1441301.84104063
"9","s65","Vermont",0
"10","s65","Minnesota",0
"11","s65","Oregon",52849.5606331239
"12","s65","New Hampshire",0
"13","s65","Iowa",0
"14","s65","Massachusetts",0
"15","s65","Nebraska",0
"16","s65","New York",0
"17","s65","Pennsylvania",0
"18","s65","Connecticut",0
"19","s65","Rhode Island",0
"20","s65","New Jersey",0
"21","s65","Indiana",0
"22","s65","Nevada",25264883.3441786
"23","s65","Utah",45515885.3001184
"24","s65","California",958702.985989589
"25","s65","Ohio",0
"26","s65","Illinois",0
"27","s65","District of Columbia",0
"28","s65","Delaware",0
"29","s65","West Virginia",0
"30","s65","Maryland",0
"31","s65","Colorado",23854772.996657
"32","s65","Kentucky",0
"33","s65","Kansas",0
"34","s65","Virginia",0
"35","s65","Missouri",0
"36","s65","Arizona",21872169.919796
"37","s65","Oklahoma",0
"38","s65","North Carolina",0
"39","s65","Tennessee",0
"40","s65","Texas",14117.8973055184
"41","s65","New Mexico",9255204.29610327
"42","s65","Alabama",0
"43","s65","Mississippi",0
"44","s65","Georgia",0
"45","s65","South Carolina",0
"46","s65","Arkansas",0
"47","s65","Louisiana",0
"48","s65","Florida",0
"49","s65","Michigan",0
