"","spp.id","state","tot.ba"
"1","s837","Washington",0
"2","s837","Montana",0
"3","s837","Maine",78994.7390091951
"4","s837","North Dakota",290.704108065926
"5","s837","South Dakota",686.549643019214
"6","s837","Wyoming",0
"7","s837","Wisconsin",1786004.01726134
"8","s837","Idaho",0
"9","s837","Vermont",24646.2076777381
"10","s837","Minnesota",210002.149575549
"11","s837","Oregon",0
"12","s837","New Hampshire",221314.405423168
"13","s837","Iowa",476159.188720279
"14","s837","Massachusetts",850175.611162961
"15","s837","Nebraska",9291.89831235213
"16","s837","New York",885982.275995545
"17","s837","Pennsylvania",3043908.10765554
"18","s837","Connecticut",834194.309952796
"19","s837","Rhode Island",208238.93720464
"20","s837","New Jersey",604358.596252804
"21","s837","Indiana",1558395.92920167
"22","s837","Nevada",0
"23","s837","Utah",0
"24","s837","California",0
"25","s837","Ohio",1519767.70239748
"26","s837","Illinois",1810288.21927316
"27","s837","District of Columbia",2306.14683824056
"28","s837","Delaware",41218.4127491894
"29","s837","West Virginia",3068821.41360717
"30","s837","Maryland",511211.015764221
"31","s837","Colorado",0
"32","s837","Kentucky",2745046.00430505
"33","s837","Kansas",114631.306213877
"34","s837","Virginia",2989269.05417471
"35","s837","Missouri",11013263.6015534
"36","s837","Arizona",0
"37","s837","Oklahoma",3648494.03894825
"38","s837","North Carolina",1393479.98125026
"39","s837","Tennessee",2565603.14179111
"40","s837","Texas",96513.7329421065
"41","s837","New Mexico",0
"42","s837","Alabama",1006320.09277847
"43","s837","Mississippi",407617.114048683
"44","s837","Georgia",822169.65469836
"45","s837","South Carolina",336093.768643133
"46","s837","Arkansas",3487050.07676666
"47","s837","Louisiana",55923.7424571297
"48","s837","Florida",11467.4357512868
"49","s837","Michigan",2301739.81526269
