"","spp.id","state","tot.ba"
"1","s316","Washington",0
"2","s316","Montana",17.8717538714409
"3","s316","Maine",14875454.9825093
"4","s316","North Dakota",7847.35572453518
"5","s316","South Dakota",3239.78167087771
"6","s316","Wyoming",0
"7","s316","Wisconsin",9757811.89812497
"8","s316","Idaho",0
"9","s316","Vermont",4883298.33579728
"10","s316","Minnesota",3615730.54047891
"11","s316","Oregon",0
"12","s316","New Hampshire",5962664.77158359
"13","s316","Iowa",58523.8918245691
"14","s316","Massachusetts",4456056.75338133
"15","s316","Nebraska",58.868988469243
"16","s316","New York",22054973.5952284
"17","s316","Pennsylvania",22563816.8561752
"18","s316","Connecticut",2907698.04326352
"19","s316","Rhode Island",548066.928907881
"20","s316","New Jersey",1766182.18786474
"21","s316","Indiana",1312575.23900201
"22","s316","Nevada",0
"23","s316","Utah",0
"24","s316","California",0
"25","s316","Ohio",5537372.29311971
"26","s316","Illinois",513225.952117734
"27","s316","District of Columbia",4905.1828895947
"28","s316","Delaware",645963.215234932
"29","s316","West Virginia",9664277.43961519
"30","s316","Maryland",2556283.29096608
"31","s316","Colorado",0
"32","s316","Kentucky",5369222.37962168
"33","s316","Kansas",2744.17829847941
"34","s316","Virginia",9598719.73978418
"35","s316","Missouri",463816.850485496
"36","s316","Arizona",0
"37","s316","Oklahoma",216713.828701732
"38","s316","North Carolina",12022269.6658351
"39","s316","Tennessee",5579073.63464564
"40","s316","Texas",773291.438659735
"41","s316","New Mexico",0
"42","s316","Alabama",3837569.15893938
"43","s316","Mississippi",2647846.44570958
"44","s316","Georgia",6474794.81273845
"45","s316","South Carolina",4453473.40645301
"46","s316","Arkansas",1819969.52449816
"47","s316","Louisiana",2735003.04387165
"48","s316","Florida",2557434.29874327
"49","s316","Michigan",16191263.0890516
