"","spp.id","state","tot.ba"
"1","s64","Washington",183024.900553576
"2","s64","Montana",20410.4338316396
"3","s64","Maine",0
"4","s64","North Dakota",0
"5","s64","South Dakota",0
"6","s64","Wyoming",18917.0173185465
"7","s64","Wisconsin",0
"8","s64","Idaho",786684.318703844
"9","s64","Vermont",0
"10","s64","Minnesota",0
"11","s64","Oregon",5545453.45421487
"12","s64","New Hampshire",0
"13","s64","Iowa",0
"14","s64","Massachusetts",0
"15","s64","Nebraska",0
"16","s64","New York",0
"17","s64","Pennsylvania",0
"18","s64","Connecticut",0
"19","s64","Rhode Island",0
"20","s64","New Jersey",0
"21","s64","Indiana",0
"22","s64","Nevada",630627.352479219
"23","s64","Utah",13966.0269775018
"24","s64","California",4182331.42505925
"25","s64","Ohio",0
"26","s64","Illinois",0
"27","s64","District of Columbia",0
"28","s64","Delaware",0
"29","s64","West Virginia",0
"30","s64","Maryland",0
"31","s64","Colorado",1985.36177338846
"32","s64","Kentucky",0
"33","s64","Kansas",0
"34","s64","Virginia",0
"35","s64","Missouri",0
"36","s64","Arizona",3480.54245984484
"37","s64","Oklahoma",0
"38","s64","North Carolina",0
"39","s64","Tennessee",0
"40","s64","Texas",0
"41","s64","New Mexico",13115.3127738168
"42","s64","Alabama",0
"43","s64","Mississippi",0
"44","s64","Georgia",0
"45","s64","South Carolina",0
"46","s64","Arkansas",0
"47","s64","Louisiana",0
"48","s64","Florida",0
"49","s64","Michigan",0
