"","spp.id","state","tot.ba"
"1","s683","Washington",0
"2","s683","Montana",0
"3","s683","Maine",0
"4","s683","North Dakota",0
"5","s683","South Dakota",0
"6","s683","Wyoming",0
"7","s683","Wisconsin",0
"8","s683","Idaho",0
"9","s683","Vermont",0
"10","s683","Minnesota",0
"11","s683","Oregon",0
"12","s683","New Hampshire",0
"13","s683","Iowa",0
"14","s683","Massachusetts",0
"15","s683","Nebraska",0
"16","s683","New York",0
"17","s683","Pennsylvania",0
"18","s683","Connecticut",0
"19","s683","Rhode Island",0
"20","s683","New Jersey",0
"21","s683","Indiana",0
"22","s683","Nevada",0
"23","s683","Utah",0
"24","s683","California",0
"25","s683","Ohio",0
"26","s683","Illinois",0
"27","s683","District of Columbia",0
"28","s683","Delaware",0
"29","s683","West Virginia",0
"30","s683","Maryland",0
"31","s683","Colorado",0
"32","s683","Kentucky",0
"33","s683","Kansas",0
"34","s683","Virginia",0
"35","s683","Missouri",0
"36","s683","Arizona",0
"37","s683","Oklahoma",0
"38","s683","North Carolina",0
"39","s683","Tennessee",0
"40","s683","Texas",6539.11811265186
"41","s683","New Mexico",0
"42","s683","Alabama",0
"43","s683","Mississippi",0
"44","s683","Georgia",0
"45","s683","South Carolina",0
"46","s683","Arkansas",0
"47","s683","Louisiana",0
"48","s683","Florida",0
"49","s683","Michigan",0
