"","spp.id","state","tot.ba"
"1","s745","Washington",0
"2","s745","Montana",223361.576194683
"3","s745","Maine",0
"4","s745","North Dakota",204032.858613645
"5","s745","South Dakota",141299.597786427
"6","s745","Wyoming",30705.7712757606
"7","s745","Wisconsin",65.8994861543179
"8","s745","Idaho",0
"9","s745","Vermont",0
"10","s745","Minnesota",6273.08444259223
"11","s745","Oregon",0
"12","s745","New Hampshire",0
"13","s745","Iowa",14207.4290496223
"14","s745","Massachusetts",0
"15","s745","Nebraska",332461.034627758
"16","s745","New York",0
"17","s745","Pennsylvania",0
"18","s745","Connecticut",0
"19","s745","Rhode Island",0
"20","s745","New Jersey",0
"21","s745","Indiana",20.9460977315903
"22","s745","Nevada",0
"23","s745","Utah",0
"24","s745","California",0
"25","s745","Ohio",0
"26","s745","Illinois",613.013858765364
"27","s745","District of Columbia",0
"28","s745","Delaware",0
"29","s745","West Virginia",0
"30","s745","Maryland",0
"31","s745","Colorado",115747.816178396
"32","s745","Kentucky",0
"33","s745","Kansas",745028.708277902
"34","s745","Virginia",0
"35","s745","Missouri",1252.93846399221
"36","s745","Arizona",0
"37","s745","Oklahoma",263969.914753214
"38","s745","North Carolina",0
"39","s745","Tennessee",0
"40","s745","Texas",114205.650472652
"41","s745","New Mexico",1128.01597550511
"42","s745","Alabama",0
"43","s745","Mississippi",0
"44","s745","Georgia",0
"45","s745","South Carolina",0
"46","s745","Arkansas",0
"47","s745","Louisiana",0
"48","s745","Florida",0
"49","s745","Michigan",0
