"","spp.id","state","tot.ba"
"1","s818","Washington",51443.6227084552
"2","s818","Montana",1438.62820416223
"3","s818","Maine",0
"4","s818","North Dakota",0
"5","s818","South Dakota",0
"6","s818","Wyoming",25.6489839553833
"7","s818","Wisconsin",0
"8","s818","Idaho",57352.8598428795
"9","s818","Vermont",0
"10","s818","Minnesota",0
"11","s818","Oregon",822393.146901794
"12","s818","New Hampshire",0
"13","s818","Iowa",0
"14","s818","Massachusetts",0
"15","s818","Nebraska",0
"16","s818","New York",0
"17","s818","Pennsylvania",0
"18","s818","Connecticut",0
"19","s818","Rhode Island",0
"20","s818","New Jersey",0
"21","s818","Indiana",0
"22","s818","Nevada",2433.64562854799
"23","s818","Utah",306.753342270851
"24","s818","California",9592311.61850793
"25","s818","Ohio",0
"26","s818","Illinois",0
"27","s818","District of Columbia",0
"28","s818","Delaware",0
"29","s818","West Virginia",0
"30","s818","Maryland",0
"31","s818","Colorado",0
"32","s818","Kentucky",0
"33","s818","Kansas",0
"34","s818","Virginia",0
"35","s818","Missouri",0
"36","s818","Arizona",8.61875499784946
"37","s818","Oklahoma",0
"38","s818","North Carolina",0
"39","s818","Tennessee",0
"40","s818","Texas",0
"41","s818","New Mexico",358.531103849411
"42","s818","Alabama",0
"43","s818","Mississippi",0
"44","s818","Georgia",0
"45","s818","South Carolina",0
"46","s818","Arkansas",0
"47","s818","Louisiana",0
"48","s818","Florida",0
"49","s818","Michigan",0
