"","spp.id","state","tot.ba"
"1","s746","Washington",260488.48970342
"2","s746","Montana",2957842.20069801
"3","s746","Maine",2757772.24817687
"4","s746","North Dakota",614887.821540576
"5","s746","South Dakota",95051.5554348074
"6","s746","Wyoming",4241649.27704281
"7","s746","Wisconsin",8985209.34914446
"8","s746","Idaho",2197407.23723324
"9","s746","Vermont",503109.199200967
"10","s746","Minnesota",16865858.015248
"11","s746","Oregon",247761.338557081
"12","s746","New Hampshire",422430.128179903
"13","s746","Iowa",37011.0832341926
"14","s746","Massachusetts",163236.315802863
"15","s746","Nebraska",0
"16","s746","New York",2141195.38557582
"17","s746","Pennsylvania",816244.290282185
"18","s746","Connecticut",65277.1233225473
"19","s746","Rhode Island",6178.22962749668
"20","s746","New Jersey",8242.37121121719
"21","s746","Indiana",25038.4988528625
"22","s746","Nevada",687535.276475976
"23","s746","Utah",6399025.52329592
"24","s746","California",287946.712357993
"25","s746","Ohio",167321.214798724
"26","s746","Illinois",31505.1729089093
"27","s746","District of Columbia",4.01435356144793
"28","s746","Delaware",1.43447447224753
"29","s746","West Virginia",26200.3412961905
"30","s746","Maryland",9614.06434564077
"31","s746","Colorado",18521375.2213915
"32","s746","Kentucky",1707.55654179677
"33","s746","Kansas",0
"34","s746","Virginia",1374.15217074816
"35","s746","Missouri",18.8663691775873
"36","s746","Arizona",901642.068766022
"37","s746","Oklahoma",0
"38","s746","North Carolina",594.652974721947
"39","s746","Tennessee",263.779271509731
"40","s746","Texas",0
"41","s746","New Mexico",1602070.44322192
"42","s746","Alabama",0
"43","s746","Mississippi",0
"44","s746","Georgia",9.13441249425523
"45","s746","South Carolina",30.2579167242511
"46","s746","Arkansas",0
"47","s746","Louisiana",0
"48","s746","Florida",0
"49","s746","Michigan",8573836.92463698
