"","spp.id","state","tot.ba"
"1","s403","Washington",0
"2","s403","Montana",0
"3","s403","Maine",3138.39069030574
"4","s403","North Dakota",16.8379798568785
"5","s403","South Dakota",123.197666563094
"6","s403","Wyoming",0
"7","s403","Wisconsin",13436.2328488394
"8","s403","Idaho",0
"9","s403","Vermont",9973.04957875982
"10","s403","Minnesota",4190.14995766245
"11","s403","Oregon",0
"12","s403","New Hampshire",26440.2063682966
"13","s403","Iowa",23679.5757624679
"14","s403","Massachusetts",107091.378590162
"15","s403","Nebraska",2.24884981662035
"16","s403","New York",434671.550139377
"17","s403","Pennsylvania",1008451.83922933
"18","s403","Connecticut",235201.827569056
"19","s403","Rhode Island",32364.6048075607
"20","s403","New Jersey",81584.935579322
"21","s403","Indiana",876247.406454854
"22","s403","Nevada",0
"23","s403","Utah",0
"24","s403","California",0
"25","s403","Ohio",752058.218979815
"26","s403","Illinois",862661.957981353
"27","s403","District of Columbia",1303.5321583238
"28","s403","Delaware",8989.00956153776
"29","s403","West Virginia",2182961.79984894
"30","s403","Maryland",282469.859076147
"31","s403","Colorado",0
"32","s403","Kentucky",2889878.43434564
"33","s403","Kansas",462.318889684044
"34","s403","Virginia",2271686.21151301
"35","s403","Missouri",722443.002644122
"36","s403","Arizona",0
"37","s403","Oklahoma",153908.568329329
"38","s403","North Carolina",1568774.14986188
"39","s403","Tennessee",3404271.0214893
"40","s403","Texas",110645.938464245
"41","s403","New Mexico",0
"42","s403","Alabama",1882355.78491907
"43","s403","Mississippi",942290.951653726
"44","s403","Georgia",1526837.42898505
"45","s403","South Carolina",463713.004811164
"46","s403","Arkansas",288316.285979783
"47","s403","Louisiana",118751.082383414
"48","s403","Florida",207375.530036541
"49","s403","Michigan",136259.081684864
