"","spp.id","state","tot.ba"
"1","s836","Washington",0
"2","s836","Montana",0
"3","s836","Maine",0
"4","s836","North Dakota",0
"5","s836","South Dakota",0
"6","s836","Wyoming",0
"7","s836","Wisconsin",0
"8","s836","Idaho",0
"9","s836","Vermont",0
"10","s836","Minnesota",0
"11","s836","Oregon",0
"12","s836","New Hampshire",0
"13","s836","Iowa",0
"14","s836","Massachusetts",0
"15","s836","Nebraska",0
"16","s836","New York",0
"17","s836","Pennsylvania",0.540027484297752
"18","s836","Connecticut",0
"19","s836","Rhode Island",0
"20","s836","New Jersey",0
"21","s836","Indiana",0
"22","s836","Nevada",0
"23","s836","Utah",0
"24","s836","California",0
"25","s836","Ohio",0
"26","s836","Illinois",0.207981109619141
"27","s836","District of Columbia",0
"28","s836","Delaware",0.0164396744221449
"29","s836","West Virginia",0
"30","s836","Maryland",0.42892299965024
"31","s836","Colorado",0
"32","s836","Kentucky",216.278257861268
"33","s836","Kansas",0
"34","s836","Virginia",23.4564362503588
"35","s836","Missouri",1063.46867143083
"36","s836","Arizona",0
"37","s836","Oklahoma",643.527073812671
"38","s836","North Carolina",54.8268852233887
"39","s836","Tennessee",228.128769698553
"40","s836","Texas",31798.3794307308
"41","s836","New Mexico",0
"42","s836","Alabama",45.6348529914394
"43","s836","Mississippi",6883.1146217268
"44","s836","Georgia",33.521269755438
"45","s836","South Carolina",0.383868306875229
"46","s836","Arkansas",16018.5911191832
"47","s836","Louisiana",10665.2658380438
"48","s836","Florida",0
"49","s836","Michigan",0
