"","spp.id","state","tot.ba"
"1","s922","Washington",0
"2","s922","Montana",0
"3","s922","Maine",1665.81632377813
"4","s922","North Dakota",5005.5229150895
"5","s922","South Dakota",21597.6387392674
"6","s922","Wyoming",221.512842426077
"7","s922","Wisconsin",156664.390153734
"8","s922","Idaho",0
"9","s922","Vermont",28077.4034757061
"10","s922","Minnesota",127450.428744479
"11","s922","Oregon",0
"12","s922","New Hampshire",4184.81023154617
"13","s922","Iowa",202311.718569364
"14","s922","Massachusetts",10059.0894351201
"15","s922","Nebraska",99117.1704502673
"16","s922","New York",454710.269571657
"17","s922","Pennsylvania",187959.105256562
"18","s922","Connecticut",6628.83306938503
"19","s922","Rhode Island",609.064493057318
"20","s922","New Jersey",12918.8965347728
"21","s922","Indiana",142425.502105545
"22","s922","Nevada",22.3347536602523
"23","s922","Utah",0
"24","s922","California",428.346532515192
"25","s922","Ohio",134706.779044219
"26","s922","Illinois",300436.296719129
"27","s922","District of Columbia",48.6722243502736
"28","s922","Delaware",1577.66931839194
"29","s922","West Virginia",30554.9034107338
"30","s922","Maryland",6457.73178976052
"31","s922","Colorado",1867.43497851864
"32","s922","Kentucky",112392.109514022
"33","s922","Kansas",142162.490610478
"34","s922","Virginia",41117.8743562007
"35","s922","Missouri",242862.273358888
"36","s922","Arizona",0
"37","s922","Oklahoma",270925.02978503
"38","s922","North Carolina",146813.975730216
"39","s922","Tennessee",245914.481608118
"40","s922","Texas",324548.18995276
"41","s922","New Mexico",99.5678990893066
"42","s922","Alabama",164496.008638338
"43","s922","Mississippi",553759.887878099
"44","s922","Georgia",272199.391012342
"45","s922","South Carolina",162550.844918153
"46","s922","Arkansas",560530.682972494
"47","s922","Louisiana",717707.41427282
"48","s922","Florida",39253.1947446645
"49","s922","Michigan",196392.818260674
