"","spp.id","state","tot.ba"
"1","s729","Washington",0
"2","s729","Montana",0
"3","s729","Maine",0
"4","s729","North Dakota",0
"5","s729","South Dakota",0
"6","s729","Wyoming",0
"7","s729","Wisconsin",0
"8","s729","Idaho",0
"9","s729","Vermont",0
"10","s729","Minnesota",0
"11","s729","Oregon",0
"12","s729","New Hampshire",0
"13","s729","Iowa",0
"14","s729","Massachusetts",0
"15","s729","Nebraska",0
"16","s729","New York",0
"17","s729","Pennsylvania",0
"18","s729","Connecticut",0
"19","s729","Rhode Island",0
"20","s729","New Jersey",0
"21","s729","Indiana",0
"22","s729","Nevada",0
"23","s729","Utah",0
"24","s729","California",0
"25","s729","Ohio",0
"26","s729","Illinois",0
"27","s729","District of Columbia",0
"28","s729","Delaware",0
"29","s729","West Virginia",0
"30","s729","Maryland",0
"31","s729","Colorado",0
"32","s729","Kentucky",0
"33","s729","Kansas",0
"34","s729","Virginia",0
"35","s729","Missouri",0
"36","s729","Arizona",0
"37","s729","Oklahoma",0
"38","s729","North Carolina",0
"39","s729","Tennessee",0
"40","s729","Texas",0
"41","s729","New Mexico",0
"42","s729","Alabama",0
"43","s729","Mississippi",0
"44","s729","Georgia",0
"45","s729","South Carolina",0
"46","s729","Arkansas",0
"47","s729","Louisiana",0
"48","s729","Florida",0
"49","s729","Michigan",0
